id,title,weightPerServing,dishTypes,calories,Saturated Fat/g,Sugar/g,Cholesterol/mg,Sodium/mg,Vitamin B3/mg,Selenium/?g,Phosphorus/mg,Iron/mg,Vitamin B2/mg,Calcium/mg,Vitamin B1/mg,Folate/?g,Potassium/mg,Copper/mg,Zinc/mg,Manganese/mg,Magnesium/mg,Vitamin B12/?g,Vitamin B5/mg,Vitamin B6/mg,Vitamin E/mg,Fiber/g,Vitamin A/IU,Vitamin D/?g,Vitamin K/?g,Vitamin C/mg,Alcohol/g,Caffeine/g,Fat,Carbon,Protein,ingredients
12,Roasted Peppers with Boquerones,149,side dish,32.19,0.07,3.78,2.4,7.54,1.36,1.54,28.38,0.49,0.08,11.7,0.05,38.08,188.83,0.02,0.27,0.1,11.53,0,0.29,0.24,1.32,1.72,2569.42,0,4.02,104.72,0,0,0.44,5.28,1.63,"boquerones,red bell peppers,sherry vinegar,sugar"
13,"Anchovies, Tomatoes And Green Beans Couscous",200,"lunch,main course,main dish,dinner",1100.67,4.96,21.5,26.22,1319.18,16.39,22.95,567.56,7.95,0.58,234.99,0.73,198.58,1987.86,0.96,3.44,2.3,190.94,0.31,3.42,1.06,9.18,17.86,6792.82,0.48,83.97,205.25,0,0,33.47,161.94,37.92,"anchovies,anchovies in extra virgin olive oil,balsamic vinegar,basil,basil,bell pepper,cherry tomatoes,cherry tomatoes,couscous,couscous,extra virgin olive oil,extra-virgin olive oil,green beans,green beans,salad mix,salt,tomatoes,vegetarian bacon"
16,Sliced Baguette With Radishes And Anchovy Butter,123,side dish,946.35,58.79,1.29,248.83,487.31,3.15,15.76,96.39,1.76,0.21,88.25,0.22,101.52,217.94,0.15,0.75,0.26,23.81,0.24,0.42,0.07,2.82,1.95,3147.88,1.7,23.86,9.99,0,0,5,22.69,6.78,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter"
17,Savory Slow Roasted Tomatoes with Filet of Anchovy,100,"lunch,main course,main dish,dinner",474.38,5.17,6.89,142.94,353.64,18.43,75.51,568.24,5.03,0.37,101.42,0.28,69.37,1491.14,0.37,9.76,0.35,88.36,2.22,1.82,1.65,4.07,3.11,2124.67,0,34.97,34.46,0,0,23.3,10.23,55.94,"anchovy filets,extra virgin olive oil,fire-roasted tomatoes,herbs,Salt & Pepper,summer squash,sun-dried tomatoes,tomatoes,Top Sirloin,pomodori al forno con le acciughe,remove from oven"
18,Anchovy Vinaigrette,40,,234.07,1.33,4.34,2.55,138.15,1.59,2.83,58.67,1.1,0.11,25.14,0.05,36.68,324.67,0.04,0.47,0.28,28.23,0,0.32,0.3,2.57,1.62,2335.42,0,9.45,95.22,15.39,0,9.57,8.78,1.78,"bell pepper,club soda,cream-style corn,dijon mustard,extra virgin olive oil,food dye,food dye,oil-packed anchovies,red wine vinegar,wine,kids,kitchen & tabletop"
19,No-knead Fennel & Anchovy Pizza,100,"lunch,main course,main dish,dinner",711.52,4.84,8.33,16.53,1398.69,4.61,9.14,398.28,8.62,0.27,420.31,0.08,177.73,2707.41,0.45,1.94,1.38,117.37,0.45,1.56,0.32,1.41,22.35,997.19,0,7.7,78.08,0,0,19.12,111.8,23.06,"anchovy,cornmeal,fennel,fennel bulb,flour,lemon zest,mozzarella cheese,olive oil,pepper,pizza dough"
20,"Pan-roasted East Coast Skate, Anchovy And Broccoli Pickle",98,side dish,487.36,10.09,0.9,18.23,1103.6,0.91,2.3,22.15,1.37,0.06,59.91,0.02,10.23,120.5,0.12,0.23,0.19,17.85,0,0,0.09,7.56,2.19,431.73,0,27.37,7.65,0,0,52.31,5.41,2.26,"capers,extra virgin olive oil,garlic,green chilli,green olives,ice water,juice of lime,sea-salt,sherry vinegar,skate wings,tarragon,anchovies,unsalted butter"
21,"Anchovies, Beans And Rocket",200,"lunch,main course,main dish,dinner",1743.15,9.49,24.96,2.91,1640.68,7.35,10,2700.71,33.72,1,926.33,2.31,434.37,4713.46,5.27,16.8,1.08,771.9,0,0.72,0.62,3.4,22.35,1525.12,0,132.78,13.63,0,0,61.63,100.41,196.71,"anchovies in extra virgin olive oil,borlotti beans,extra firm tofu,extra-virgin olive oil,parsley,pinenuts,pinto beans,rocket"
22,Anchovy And Onion Tart,118,side dish,453.01,2.38,8.24,4.8,1491.51,5.54,25.23,145.08,3.99,0.43,76.69,0.71,179.83,393.53,0.2,1.01,0.7,38.62,0,0.72,0.29,2.42,5.61,64.67,0,11.56,14.17,0,0,16.45,66.33,10.76,"active yeast,anchovy filets,bouquet garni,flour,olive oil,olives,onions,rosemary,salt,salt and pepper"
23,"Cauliflower, Anchovies and Tomatoes",118,side dish,242.49,2.15,14.56,2.92,314.57,3.7,2.95,142,2.84,0.18,64.54,0.29,106.37,1073.76,0.29,0.96,0.56,55.83,0.07,0.71,0.58,5.13,5.2,5490.57,0,100.23,183.66,0,0,15.35,22.91,5.85,"anchovies,balsamic vinegar,bell pepper,capers,cauliflower,cherry tomatoes,chives,extra virgin olive oil,fish,parsley,red chilli pepper,salad mix,salt,tomatoes,vegetarian bacon"
25,Anchovy Fries with Smoked Paprika Aioli,200,"lunch,main course,main dish,dinner",379.14,5.52,1.11,113.12,477.11,9.38,33.29,174.24,3.5,0.34,123.71,0.23,44.68,304.69,0.19,1.53,0.24,34.9,0.59,0.83,0.16,3.75,1.11,513.05,0.43,14.16,2.11,0,0,27.3,16.44,16.92,"anchovies,eggs,flour,garlic clove,hungarian paprika,kosher salt,lemon juice,lemon wedges,olive oil,panko bread crumbs,paprika,vegetable oil"
26,Sliced Baguette With Radishes And Anchovy Butter,62,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",59.43,3.68,0.1,15.55,212.16,0.2,0.99,0,0,0,0,0,7.33,0,0,0,0.02,0,0,0,0,0.18,0,237.55,0,3.49,1.17,0,0,5.88,1.46,0.45,"anchovy,baguette,chives,coarse kosher salt,fresh chives,radishes,unsalted butter"
27,Cook the Book: Braided Beef with Anchovies and Olives,100,"lunch,main course,main dish,dinner",574.11,5.81,3.25,236.48,542.83,23.2,105.26,860.8,2.76,0.77,49.95,1.67,35.85,1573.21,0.27,6.95,0.12,110.63,1.93,3.03,3,3.24,2.31,2426.02,1.46,6.78,95.14,0,0,23.67,5.36,84.91,"anchovy,bell pepper,extra virgin olive oil,kalamata olives,loin roast"
28,Potato Salad With Green Goddess Dressing,65,salad,260.24,0.82,4.82,2.47,224.62,2.91,4.65,193.58,2.8,0.21,102.35,0.21,53.68,1132.87,0.29,1.01,0.58,68.74,0.26,0.84,0.78,0.73,5.69,252.86,0,31.93,51.67,0,0,5.29,45.64,9.15,"anchovies,basil,lemon juice,new potatoes,olive oil,parsley,red onion,red wine vinegar,salt,strained yogurt,sugar,tarragon"
29,"Skate, Chicory, and Anchovy",140,,523.45,5.45,6.71,12,344.2,5.37,10.52,215.51,5.44,0.39,297.02,0.31,435.79,1575.75,0.44,3.03,1.74,98.11,0.12,2.92,0.6,7.77,12.79,9349.85,0,834,149.98,6.18,0,38.23,28.22,11.02,"anchovy,bell pepper,black peppercorns,capers,celery,chicory,curly parsley,curly parsley,extra virgin olive oil,fennel,garlic,garlic,lemon zest,onion,rocket,sea salt,skate,white wine,wine vinegar"
30,Raw Mustard Greens Salad With Gruy?re And Anchovy Croutons,75,salad,273.77,2.77,3.42,2,172.16,3.05,10.52,117.37,3.09,0.21,177.34,0.23,39.42,513.95,0.25,0.69,0.36,51.41,0,0.51,0.26,4.95,4.86,3432.02,0,304.24,83.13,0,0,19.63,20.22,6.95,"anchovy,bread cubes,garlic cloves,lemon juice,lemon juice,mustard greens,mustard greens,olive oil"
31,Caramelized Onion And Fresh Anchovy Tart,76,side dish,576.43,8.62,7.24,22.33,403.53,8.07,29.53,143.19,3.67,0.33,129.65,0.33,96.52,415.38,0.21,1.27,0.55,48.67,0.23,0.47,0.19,2.7,2.92,726.9,0,49.74,11.54,0,0,40.39,40.47,13.93,"balsamic vinegar,cane sugar,fresh anchovies,olive oil,puff pastry,red onions,rocket,salt and pepper,thyme"
32,Anchovy Crostini With Onion-and-raisin Relish,141,side dish,425.57,2.21,6.51,1.08,817.52,5.44,31.37,188.75,3.79,0.34,98.89,0.5,220.85,402.32,0.46,1.63,1.09,55.17,0.13,0.59,0.15,2.93,4.09,0,0.4,130.53,6.74,1.03,0,14.88,59.35,12.25,"baguette,bay leaf,coarse salt,dry white wine,golden raisins,oil packed tuna,olive oil,onions,pine nuts,radicchio,white-wine vinegar"
33,Radish Salad Lugano,69,salad,738.23,18.89,5.98,76.35,983.62,1.82,15.36,478.73,1.95,0.33,774.24,0.1,85.91,810.81,0.22,3.58,0.32,62.7,1.09,0.92,0.31,7.13,5.61,843.23,0.45,52.17,45.37,0,0,67.23,12.26,23.52,"anchovies,anchovy paste,apple cider vinegar,black olives,dijon mustard,fresh tarragon,garlic,gruyere cheese,olive oil,parsley,radishes,salt and pepper,scallions"
34,Cardoons With Anchovy-garlic Sauce,153,side dish,210.25,5.03,0.46,14.98,43.01,1.15,3.18,19.47,0.49,0.03,19.57,0,0,60.81,0.03,0.16,0.03,5.06,0,0,0.04,2.77,0.53,126.34,0,11.19,9.85,0,0,22.29,2.01,1.93,"anchovy filets,butter,garlic,garlic clove,lemon,olive oil,olive oil"
35,Anchovy and Herb Marinade,107,side dish,197.04,2.95,0.56,0.6,702.2,0.38,0,12.16,1.17,0.03,26.58,0.02,26.94,105.91,0.04,0.2,0.03,10.3,0,0,0.02,3.19,0.77,1271.02,0,259.63,27.22,0,0,21.24,2.34,0.81,"anchovy,capers,flat-leaf parsley,kosher salt,lemon juice,lemon zest,olive oil"
36,Beet Greens With Anchovies,159,side dish,113.29,1.88,2.15,3.4,471.72,0.57,2.18,74.15,1.19,0.11,119.14,0.05,23.7,411.47,0.12,0.55,0.25,31.25,0,0.22,0.14,1.91,2.63,1989.7,0,96.58,19.91,0,0,8.95,5.48,3.85,"anchovies in salt,beet greens,beet greens,beet greens,beet greens,food dye,food dye,garlic,olive oil,parmesan cheese,poppy seeds,radishes,red pepper flakes,roma tomato,water"
37,Roasted Cauliflower With Anchovy Bread Crumbs,114,side dish,516.46,4.6,13.07,6.4,585.73,5.88,15.84,256.74,4.05,0.41,180.9,0.56,261.42,1304.67,0.61,1.82,1.02,80.64,0.19,2.88,0.84,4.33,10.05,0,0,78.38,191.53,0,0,30.87,50.68,14.8,"anchovy,bread crumbs,cauliflower,extra virgin olive oil,extra virgin olive oil,fresh sage leaves,garlic,kosher salt,lemon zest,shallot,sugar"
38,Onion Anchovy Galette,152,side dish,334.26,12.83,2.86,52.53,148.2,2.24,10.89,59.42,1.72,0.17,30.68,0.24,59.04,176.1,0.09,0.39,0.28,15.19,0.06,0.23,0.1,1.5,1.81,674.48,0.35,6.78,5.07,0,0,24.23,25.78,4.39,"anchovy,dried thyme,flour,garlic clove,ice water,olive oil,onions,salt,tomato paste,unsalted butter,unsalted butter"
39,Radish Salad With Anchovy Sauce,73,salad,36.07,0.5,0.29,0.6,214.03,0,0,0,0,0,0,0,4.45,40.8,0,0,0.02,0,0,0,0.02,0.52,0.25,0,0,10.2,3.46,0,0,3.58,0.86,0.37,"anchovy,capers,flatleaf parsley,garlic clove,lemon juice,olive oil,radishes,salt"
40,"Pizza With Anchovies, Red Onion, And Oregano",100,"lunch,main course,main dish,dinner",414.83,7.42,5.33,22.8,1091.22,1.24,9.16,235.48,3.07,0.16,393.43,0.03,9.04,209.52,0.09,1.1,0.18,26.27,0.38,0.3,0.15,3.48,2.52,979.21,0,18.19,3.19,0,0,24.11,32.57,16.89,"anchovies,garlic,olive oil,oregano,parmesan,pizza dough,red chili flakes,red onion,tomato sauce"
41,Anchovy & Italian Parsley Deviled Eggs,100,"lunch,main course,main dish,dinner",618.14,11.75,5.01,998.64,1158.47,2.37,94.62,600.1,6.35,1.32,197.56,0.26,175.44,655.72,0.27,4.08,0.31,64.44,2.43,4.52,0.72,5.24,3.06,4724.65,5.34,182.72,106.32,0,0,48.02,9.03,37.46,"anchovy filets,capers,dijon mustard,eggs,mayonnaise,parsley,bell pepper,salt,smoked paprika"
42,Grilled Mozzarella Sandwich With Anchovy-olive Tapenade,200,"lunch,main course,main dish,dinner",713.35,27.3,4.66,129.75,1767.2,4.15,32.98,406.04,3.11,0.42,561.41,0.31,59.02,228.68,0.17,3.3,0.77,53.14,2.01,0.67,0.14,3.17,4.3,1471.59,0.76,14.89,1.57,0,0,53.03,32.66,26.36,"anchovy,bread,butter,fresh mozzarella,garlic clove,kosher salt,lemon juice,olive oil,olives,oregano leaves"
43,Pressed Summer Sandwich with Eggs and Anchovies,106,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",144.9,1.4,1.57,75.08,252.86,1.37,12.82,69.75,1.35,0.18,29.78,0.12,48.86,116.2,0.06,0.49,0.17,12.49,0.23,0.41,0.08,1.16,1.07,414.75,0.44,19.75,10.46,0,0,7.14,14.73,5.71,"anchovies,black olives,black pepper,capers,cherry tomatoes,crusty bread,fresh parsley leaves,garlic,hard cooked eggs,olive oil,orange bell pepper,red onion"
44,Chicory In Anchovy Sauce,25,sauce,245.15,3.14,0.81,2.4,285.57,1.48,2.13,83.84,3.83,0.31,220.29,0.22,31,473.13,0.21,0.55,0.41,43.1,0,0.13,0.3,6.94,3.98,11524.44,0,895.35,39.98,0,0,21.99,10.71,3.93,"anchovy filets,dandelion greens,dandelion greens,garlic,kosher salt,olive oil,red wine vinegar"
45,"Mustard Greens, Shrimp, And Anchovy Pasta",116,,407.35,2.18,2.45,144.68,652.96,2.16,64.38,256.5,3.06,0.11,164.52,0.1,23.89,409.4,0.41,2.11,0.75,68.63,0.44,0.47,0.2,3.8,3.66,1723.94,0,154.21,44.92,0,0,15.53,45.51,21.23,"anchovies,coarse salt,juice of lemon,mustard greens,olive oil,red chili flakes,short pasta,shrimp"
46,"Orecchiette with Cauliflower, Anchovies and Pistachios",100,"lunch,main course,main dish,dinner",563.36,12.13,5.73,48.25,460.29,3.1,53.47,318.18,2.38,0.22,161.16,0.22,85.35,669.51,0.44,1.97,0.99,75.32,0.15,1.1,0.46,1.05,5.63,1086.41,0.38,100.59,53.27,0,0,24.36,67.1,18.93,"cauliflower,chicken stock,crushed red pepper,flat-leaf parsley,oil packed tuna,orecchiette,parmesan cheese,salt and pepper,unsalted butter,unsalted pistachios"
47,Roasted Cauliflower With Anchovy Vinaigrette,125,side dish,309.83,3.95,4.72,3.6,265.49,1.97,3.77,110.62,1.54,0.15,67.91,0.12,126.3,705.55,0.11,0.73,0.37,37.5,0,1.51,0.44,4.13,5.05,177.56,0,81.64,118.66,0,0,27.98,13.58,5.7,"anchovy,cauliflower,garlic cloves,lemon,olive oil,parsley,salt and pepper"
48,Roasted Red Peppers With Anchovies And Olive Oil,152,side dish,129.76,1.07,8.34,2.4,12.37,2.51,1.76,59.7,1.04,0.18,21.2,0.11,91.67,437.12,0.04,0.57,0.24,25.64,0,0.66,0.59,4.16,4.18,6215.43,0,13.95,253.65,0,0,7.79,12.21,2.83,"anchovy,garlic,olive oil,olive oil,red bell peppers,red bell peppers"
49,Tomato And Boquerones Salad With Garlicky Breadcrumbs,120,side dish,102.57,1.28,2.01,7.2,16.14,2.03,4.46,38.63,0.66,0.05,28.29,0.03,12.35,198.76,0.07,0.33,0.11,13.02,0.07,0.15,0.08,1.52,0.92,498.84,0,12.63,8.57,0,0,8.71,3.48,3.11,"anchovy,basil leaves,extra virgin olive oil,pepper,red onion,sherry vinegar,tomato"
50,Hard-Cooked Eggs with Crisp Anchovy Crumbs,121,"antipasti,starter,snack,appetizer,antipasto,hor d'oeuvre",71.22,1.75,0.16,110.75,64.86,0,9.01,58.17,0.55,0.13,18.38,0,13.85,43.64,0.02,0.38,0,0,0.26,0.45,0.05,0.41,0,200.83,0.58,7.98,0,0,0,5.69,0.87,3.88,"anchovy fillets,brioche,eggs,garlic,lemon zest,mayonnaise,parsley,unsalted butter"
51,Acciughe Con Salsa Verde (anchovies In Green Sauce),16,sauce,151.25,2.35,0.25,46.63,20.6,0,4.06,28.11,0.66,0.07,18.7,0.02,15.03,59.14,0,0.22,0.05,5.47,0.14,0.21,0.04,2.21,0.25,618.11,0.28,108.03,8.3,0.39,0,15.39,1.03,1.85,"basil,flat leaf parsley,garlic,hard-boiled egg,olive oil,parsley,red chile flakes,vinegar,white wine"
52,California Artichokes With Anchovy Mayonnaise,100,"lunch,main course,main dish,dinner",265.61,2.55,3.75,100.05,637.78,5.38,8.81,261.73,3.65,0.25,122.66,0.16,114.83,874.99,0.48,1.38,0.53,98.55,0.44,0.92,0.34,1.79,8.92,551.09,0.49,89.86,53.26,6.18,0,12.69,25.46,12.39,"anchovy,artichokes,bay leaves,dijon mustard,egg yolks,fresh parsley,fresh thyme,garlic,garlic cloves,kosher salt,kosher salt,lemon juice,lemons,low sodium chicken broth,olive oil,white wine,white wine vinegar"
53,"Anchovy, Little Gem, And Tomato Salad",99,side dish,164.55,2.35,4.95,7.2,218.61,2.66,4.66,64.58,1.13,0.07,42.18,0.08,36.54,462.23,0.13,0.54,0.22,25.04,0.07,0.25,0.15,2.43,2.25,1660.51,0,86.59,25.5,0,0,14.02,7.3,4.12,"anchovy,curly parsley,vinaigrette,kosher salt,lettuce,olive oil,vine ripened tomatoes"
54,Anchovy and Piquillo Pepper Bruschetta,153,side dish,151.58,2.01,1.12,2.4,344.23,0.73,2.34,12.04,1.01,0.02,11.24,0.02,0,0,0,0,0.05,0,0,0,0,2.05,0,381.47,0,8.82,22.88,0,0,14.3,4.41,1.15,"anchovies,bread,caperberries,garlic clove,olive oil,piquillo peppers,sea-salt"
55,"Endive, Fennel And Parmesan With Anchovy Date Dressing",130,side dish,257.5,2.63,10.65,4.8,44,2.49,4.18,85.84,1.38,0.13,73.72,0.11,76.72,631.22,0.13,0.58,0.31,33.29,0,0.62,0.33,3.87,6,2501.1,0,14.72,121.46,0,0,18.85,20.22,4.07,"anchovy,belgian endive,bell pepper,dates,fennel bulb,garlic,olive oil,orange,sherry vinegar"
56,Tomato-and-Anchovy Salad with Garlic Cream,79,salad,194.44,2.37,7.16,8.73,225.84,3.09,5.59,96.32,1.23,0.11,69.28,0.11,37.02,629.04,0.18,0.72,0.36,33.78,0.14,0.37,0.26,3.26,2.84,1999.45,0.2,32.4,32.75,0,0,15.06,11.51,5.26,"aged balsamic vinegar,anchovy,basil leaves,garlic cloves,heirloom tomatoes,milk,olive oil,salt and pepper"
57,Port-Marinated Pork with Prunes and Anchovies,100,"lunch,main course,main dish,dinner",368.66,2.81,12.49,123.87,299.59,12.62,56.42,466.06,1.74,0.44,43.62,0.88,6.34,974.32,0.23,3.73,0.2,67.65,1.01,1.62,1.53,0.75,2.02,190.39,0.76,15.52,7.59,6.12,0,10.54,23.53,44.92,"anchovy,boneless pork loin roast,flour,garlic cloves,lemon juice,lemon zest,olive oil,port,prunes,salt and pepper"
58,Roasted Peppers With Anchovies,70,side dish,112.71,1.29,4.14,0,198.56,0.98,0,26.66,0.54,0.08,0,0.05,46.43,214.04,0,0.26,0.12,12.36,0,0.32,0.29,2.88,2.1,3144.95,0,22.81,126.77,0,0,9.47,6.09,1.02,"bell peppers,fresh flat-leaf parsley,garlic clove,olive oil,olive oil,red wine vinegar,salt"
59,Pasta With Tonnato And Tomato,100,"lunch,main course,main dish,dinner",558,3.07,5.03,31.74,618.73,8.24,100.09,283.14,2.66,0.14,48.34,0.14,36.04,516.31,0.36,1.93,0.95,74.58,1.49,0.63,0.38,1.5,4.06,790.36,0.73,68.3,15.67,0,0,19.16,71.74,24.65,"anchovies,capers,dijon mustard,fresh parsley,heirloom tomatoes,lemon juice,mayonnaise,pasta,salt,tuna"
60,Grilled Broccoli with Anchovy Dressing,151,side dish,243.23,2.61,4.2,0.36,276.22,1.71,7.2,157,1.8,0.27,108.18,0.17,145.74,735.16,0.12,0.96,0.48,49.1,0,1.32,0.41,4.39,5.94,1415.81,0,242.14,207.56,0,0,19.04,16.01,7.03,"broccoli,lemon juice,oil packed tuna,olive oil,rosemary,salt and pepper"
61,"Balsamic, Caper, And Anchovy Marinade",140,side dish,731.78,10.2,9.09,4.8,2593.18,1.57,3.64,58.06,2.63,0.08,90.54,0.07,49.68,365.43,0.18,0.55,0.72,35.1,0,0.34,0.14,10.73,3.64,1311.3,0,298.89,55.74,0,0,72.94,19.94,3.8,"anchovies,balsamic vinegar,black peppercorns,capers,coarse salt,fresh flat-leaf parsley,lemon juice,lemon zest,olive oil,red onion"
62,Egg-Free Avocado Caesar Salad,67,salad,102.95,0.81,4.74,0.85,256.75,1.9,1.9,73.5,1.63,0.18,49.01,0.15,205.85,592.59,0.14,0.69,0.31,35.09,0,0.88,0.39,2.05,6.11,11470.35,0,117.77,104.98,0,0,5.64,12.13,3.17,"anchovy paste,avocado,bell pepper,croutons,dijon mustard,garlic cloves,lemon juice,lime wedge,romaine lettuce,sea salt,water,unrefined"
63,Broccoli & Burrata,126,side dish,597.94,7.23,9.26,2.76,636.54,3,9.93,241.87,3.86,0.43,193.97,0.28,213.52,1199.37,0.28,1.56,0.83,86.3,0,1.98,0.77,9.92,11.09,2240.03,0,345.4,338.93,0,0,51.89,32.14,11.37,"anchovy,broccoli,burrata,capers,chili,garlic,lemon,olive oil,olive oil,onion,pepper,rosemary,salt,thyme"
64,"Saut?ed Shrimp with Green Olives, Scallions and Anchovies",100,"lunch,main course,main dish,dinner",256.93,2.99,0.63,340.81,1416.51,1.44,64.76,276.44,3.36,0.05,220.49,0.03,24.01,188.58,0.39,2.76,0.59,51.53,1.01,0.25,0.06,3.38,0.87,273.92,0,40.32,9.99,1.03,0,14.77,2.61,28.39,"anchovy fillets,dry white wine,garlic cloves,greek olives,lemon juice,olive oil,salt and pepper,scallions,shrimp,unsalted butter"
65,Pasta Puttanesca,200,"lunch,main course,main dish,dinner",618.75,1.96,12.92,8.67,781.15,6.74,79.61,323.43,5.2,0.24,146.46,0.28,52.61,1015.91,0.83,2.56,1.61,116.75,0.09,1.2,0.58,4.77,8.72,799.73,0,30.43,22.68,0,0,12.75,103.82,22.18,"anchovy fillets,canned tomatoes,capers,fresh basil leaves,garlic,kalamata olive,olive oil,parmigiano reggiano cheese,pepper,red pepper flakes,short pasta,tomato paste"
66,Egg and Anchovy Crostini,80,side dish,284.01,2.15,4.13,123.47,634.44,4.64,29.85,164,3.15,0.42,89.32,0.36,173.15,327.07,0.18,1.3,0.4,34.82,0.33,1.05,0.33,2.27,3.68,2628.71,0.64,24.61,104.06,0,0,9.39,37.33,12.07,"anchovy,baguette,chive,eggs,flat-leaf parsley,lemon,olive oil,bell pepper,sea salt"
67,Greek Salad Skewers with Anchovy Aioli,72,salad,49.25,1.42,0.87,6.92,92.41,0,1.17,29,0.19,0.06,34.72,0.02,5.71,55.22,0.02,0.23,0.03,0,0.11,0.11,0.05,0.32,0,118.59,0,6.84,4.21,0,0,4.49,1.19,1.16,"cherry tomatoes,cucumber,feta cheese,garlic clove,mayonnaise,oil packed tuna,olive oil,red wine vinegar"
